Time,P1,P2,IMe,IMh,Tint,Rec
444,0.971128294,1,0.056543998,66.34663072,587.8411849,0.9528
454,0.975076998,1,0.056543998,66.34663072,587.8411849,0.95765
464,0.977908165,1,0.056543998,66.34663072,587.8411849,0.96165
474,0.980768414,1,0.056543998,66.34663072,587.8411849,0.9652
484,0.982833037,1,0.056543998,66.34663072,587.8411849,0.96915
494,0.984136493,1,0.056543998,66.34663072,587.8411849,0.9716
504,0.985491049,1,0.056543998,66.34663072,587.8411849,0.9736
514,0.987457564,1,0.056543998,66.34663072,587.8411849,0.97635
524,0.98840822,1,0.056543998,66.34663072,587.8411849,0.9787
534,0.989989928,1,0.056543998,66.34663072,587.8411849,0.9815
544,0.991769737,1,0.056543998,66.34663072,587.8411849,0.984
554,0.99282021,1,0.056543998,66.34663072,587.8411849,0.98565
564,0.993387095,1,0.056543998,66.34663072,587.8411849,0.9871
574,0.994247526,1,0.056543998,66.34663072,587.8411849,0.9888
584,0.995350077,1,0.056543998,66.34663072,587.8411849,0.99055
594,0.995823275,1,0.056543998,66.34663072,587.8411849,0.99185
604,0.996381766,1,0.056543998,66.34663072,587.8411849,0.99245
614,0.996638468,1,0.056543998,66.34663072,587.8411849,0.99315
624,0.997032787,1,0.056543998,66.34663072,587.8411849,0.9938
634,0.997443024,1,0.056543998,66.34663072,587.8411849,0.99445
644,0.997599545,1,0.056543998,66.34663072,587.8411849,0.99505
654,0.997858867,1,0.056543998,66.34663072,587.8411849,0.9956
664,0.998357078,1,0.056543998,66.34663072,587.8411849,0.9963
674,0.99865779,1,0.056543998,66.34663072,587.8411849,0.9967
684,0.998900789,1,0.056543998,66.34663072,587.8411849,0.9971
694,0.998947588,1,0.056543998,66.34663072,587.8411849,0.997425
704,0.998994388,1,0.056543998,66.34663072,587.8411849,0.997625
714,0.999248581,1,0.056543998,66.34663072,587.8411849,0.99824
724,0.999310811,1,0.056543998,66.34663072,587.8411849,0.998383333
734,0.999375545,1,0.056543998,66.34663072,587.8411849,0.9985625
744,0.999405014,1,0.056543998,66.34663072,587.8411849,0.998833333
754,0.999413073,1,0.056543998,66.34663072,587.8411849,0.998895
764,0.999421132,1,0.056543998,66.34663072,587.8411849,0.9989375
774,0.999429191,1,0.056543998,66.34663072,587.8411849,0.9989675
784,0.999437249,1,0.056543998,66.34663072,587.8411849,0.9989925
794,0.999445308,1,0.056543998,66.34663072,587.8411849,0.9991
804,0.999453367,1,0.056543998,66.34663072,587.8411849,0.999127778
814,0.999461426,1,0.056543998,66.34663072,587.8411849,0.999204545
824,0.999469484,1,0.056543998,66.34663072,587.8411849,0.99925
834,0.999477543,1,0.056543998,66.34663072,587.8411849,0.99928125
844,0.999485602,1,0.056543998,66.34663072,587.8411849,0.999309524
854,0.999493661,1,0.056543998,66.34663072,587.8411849,0.999333333
864,0.999516456,1,0.056543998,66.34663072,587.8411849,0.999407692
874,0.99959358,1,0.056543998,66.34663072,587.8411849,0.999446154
884,0.999607114,1,0.056543998,66.34663072,587.8411849,0.999506944
894,0.999614874,1,0.056543998,66.34663072,587.8411849,0.999520833
904,0.999622634,1,0.056543998,66.34663072,587.8411849,0.999534722
914,0.999630394,1,0.056543998,66.34663072,587.8411849,0.999548611
924,0.999638154,1,0.056543998,66.34663072,587.8411849,0.999556081
934,0.999645914,1,0.056543998,66.34663072,587.8411849,0.999562838
944,0.999653674,1,0.056543998,66.34663072,587.8411849,0.999569595
954,0.999661434,1,0.056543998,66.34663072,587.8411849,0.999576351
964,0.999669194,1,0.056543998,66.34663072,587.8411849,0.999583108
974,0.999676954,1,0.056543998,66.34663072,587.8411849,0.999589865
984,0.999684714,1,0.056543998,66.34663072,587.8411849,0.999596622
994,0.999692474,1,0.056543998,66.34663072,587.8411849,0.999616667
4,0.914767428,0.991100027,0.229218929,41.19307747,878.7732415,0.46095
14,0.990047134,0.991178372,0.229218929,41.19307747,878.7732415,0.98255
24,0.990923461,0.991299534,0.229218929,41.19307747,878.7732415,0.986483333
34,0.991002625,0.991496758,0.229218929,41.19307747,878.7732415,0.98665
44,0.99111717,0.991586453,0.229218929,41.19307747,878.7732415,0.9868
54,0.99131716,0.991975072,0.229218929,41.19307747,878.7732415,0.9872
64,0.991397209,0.992259104,0.229218929,41.19307747,878.7732415,0.9874
74,0.991537877,0.99259628,0.229218929,41.19307747,878.7732415,0.987758333
84,0.991687839,0.993473334,0.229218929,41.19307747,878.7732415,0.9881
94,0.991824767,0.9940825,0.229218929,41.19307747,878.7732415,0.988666667
104,0.992054591,0.994513444,0.229218929,41.19307747,878.7732415,0.9892
114,0.992384259,0.994937993,0.229218929,41.19307747,878.7732415,0.98955
124,0.993199297,0.995650276,0.229218929,41.19307747,878.7732415,0.9908
134,0.993451798,0.996247017,0.229218929,41.19307747,878.7732415,0.99145
144,0.99410891,0.996802335,0.229218929,41.19307747,878.7732415,0.9921
154,0.994180097,0.997108483,0.229218929,41.19307747,878.7732415,0.99256
164,0.994709882,0.997990252,0.229218929,41.19307747,878.7732415,0.99325
174,0.994778898,0.998437741,0.229218929,41.19307747,878.7732415,0.99379
184,0.995127512,0.999021066,0.229218929,41.19307747,878.7732415,0.99445
194,0.995374729,0.999110749,0.229218929,41.19307747,878.7732415,0.994816667
204,0.995496055,0.999141545,0.229218929,41.19307747,878.7732415,0.995
214,0.99580637,0.999172341,0.229218929,41.19307747,878.7732415,0.9952375
224,0.995863947,0.999211162,0.229218929,41.19307747,878.7732415,0.995385
234,0.996053391,0.99935833,0.229218929,41.19307747,878.7732415,0.99555
244,0.996383637,0.999531195,0.229218929,41.19307747,878.7732415,0.996
254,0.996788615,0.999676009,0.229218929,41.19307747,878.7732415,0.9965375
264,0.997038208,0.999846588,0.229218929,41.19307747,878.7732415,0.996904167
274,0.997094627,0.999915918,0.229218929,41.19307747,878.7732415,0.996945833
284,0.9972419,0.999969886,0.229218929,41.19307747,878.7732415,0.997116667
294,0.997515262,1,0.229218929,41.19307747,878.7732415,0.9974
304,0.997800261,1,0.229218929,41.19307747,878.7732415,0.99775
314,0.998169438,1,0.229218929,41.19307747,878.7732415,0.9981
324,0.99862433,1,0.229218929,41.19307747,878.7732415,0.9985
334,0.998740849,1,0.229218929,41.19307747,878.7732415,0.9987125
344,0.998868842,1,0.229218929,41.19307747,878.7732415,0.9988
354,0.999038728,1,0.229218929,41.19307747,878.7732415,0.999
364,0.999120911,1,0.229218929,41.19307747,878.7732415,0.99909
374,0.999177276,1,0.229218929,41.19307747,878.7732415,0.999134615
384,0.999280902,1,0.229218929,41.19307747,878.7732415,0.999233333
394,0.999319289,1,0.229218929,41.19307747,878.7732415,0.999306098
404,0.999341742,1,0.229218929,41.19307747,878.7732415,0.999318293
414,0.999364195,1,0.229218929,41.19307747,878.7732415,0.999330488
424,0.999386648,1,0.229218929,41.19307747,878.7732415,0.999342683
434,0.99940835,1,0.229218929,41.19307747,878.7732415,0.99939
444,0.999428952,1,0.229218929,41.19307747,878.7732415,0.999410465
454,0.999449553,1,0.229218929,41.19307747,878.7732415,0.999422093
464,0.999470155,1,0.229218929,41.19307747,878.7732415,0.999433721
474,0.999490756,1,0.229218929,41.19307747,878.7732415,0.999445349
484,0.999511453,1,0.229218929,41.19307747,878.7732415,0.999501136
494,0.999532228,1,0.229218929,41.19307747,878.7732415,0.9995125
504,0.999553003,1,0.229218929,41.19307747,878.7732415,0.999523864
514,0.999573777,1,0.229218929,41.19307747,878.7732415,0.999535227
524,0.999594552,1,0.229218929,41.19307747,878.7732415,0.999546591
534,0.999730023,1,0.229218929,41.19307747,878.7732415,0.9996875
544,0.999801516,1,0.229218929,41.19307747,878.7732415,0.99976
554,0.99981852,1,0.229218929,41.19307747,878.7732415,0.999805556
564,0.999835523,1,0.229218929,41.19307747,878.7732415,0.999814815
574,0.999852527,1,0.229218929,41.19307747,878.7732415,0.999824074
584,0.999869531,1,0.229218929,41.19307747,878.7732415,0.999833333
594,0.999886534,1,0.229218929,41.19307747,878.7732415,0.999842593
604,0.999906062,1,0.229218929,41.19307747,878.7732415,0.999875
614,0.999935196,1,0.229218929,41.19307747,878.7732415,0.999913333
624,0.999964329,1,0.229218929,41.19307747,878.7732415,0.99993
634,0.999993463,1,0.229218929,41.19307747,878.7732415,0.999946667
644,1,1,0.229218929,41.19307747,878.7732415,1
654,1,1,0.229218929,41.19307747,878.7732415,1
664,1,1,0.229218929,41.19307747,878.7732415,1
674,1,1,0.229218929,41.19307747,878.7732415,1
684,1,1,0.229218929,41.19307747,878.7732415,1
694,1,1,0.229218929,41.19307747,878.7732415,1
704,1,1,0.229218929,41.19307747,878.7732415,1
714,1,1,0.229218929,41.19307747,878.7732415,1
724,1,1,0.229218929,41.19307747,878.7732415,1
734,1,1,0.229218929,41.19307747,878.7732415,1
744,1,1,0.229218929,41.19307747,878.7732415,1
754,1,1,0.229218929,41.19307747,878.7732415,1
764,1,1,0.229218929,41.19307747,878.7732415,1
774,1,1,0.229218929,41.19307747,878.7732415,1
784,1,1,0.229218929,41.19307747,878.7732415,1
794,1,1,0.229218929,41.19307747,878.7732415,1
804,1,1,0.229218929,41.19307747,878.7732415,1
814,1,1,0.229218929,41.19307747,878.7732415,1
824,1,1,0.229218929,41.19307747,878.7732415,1
834,1,1,0.229218929,41.19307747,878.7732415,1
844,1,1,0.229218929,41.19307747,878.7732415,1
854,1,1,0.229218929,41.19307747,878.7732415,1
864,1,1,0.229218929,41.19307747,878.7732415,1
874,1,1,0.229218929,41.19307747,878.7732415,1
884,1,1,0.229218929,41.19307747,878.7732415,1
894,1,1,0.229218929,41.19307747,878.7732415,1
904,1,1,0.229218929,41.19307747,878.7732415,1
914,1,1,0.229218929,41.19307747,878.7732415,1
924,1,1,0.229218929,41.19307747,878.7732415,1
934,1,1,0.229218929,41.19307747,878.7732415,1
944,1,1,0.229218929,41.19307747,878.7732415,1
954,1,1,0.229218929,41.19307747,878.7732415,1
964,1,1,0.229218929,41.19307747,878.7732415,1
974,1,1,0.229218929,41.19307747,878.7732415,1
984,1,1,0.229218929,41.19307747,878.7732415,1
994,1,1,0.229218929,41.19307747,878.7732415,1
4,0.000217439,0.527456154,0.788738645,106.9313111,59.22255251,0.0001
14,0.001315055,0.537092549,0.788738645,106.9313111,59.22255251,0.0008
24,0.003422125,0.550473662,0.788738645,106.9313111,59.22255251,0.0024
