Rec,Time,P1,P2
0.7,112,0.749595924,0.891308236
0.7,113,0.750900794,0.89226234
0.701,114,0.752190312,0.893208933
0.701,115,0.75346493,0.894148011
0.703,116,0.754725082,0.89507957
0.705,117,0.755971186,0.896003614
0.706,118,0.757203641,0.896920146
0.709,119,0.758422829,0.897829174
0.712,120,0.759629121,0.898730709
0.715,121,0.760822868,0.899624761
0.718,122,0.762004411,0.900511348
0.718,123,0.763174076,0.901390485
0.718,124,0.764332175,0.902262193
0.719,125,0.765479009,0.903126493
0.72,126,0.766614867,0.903983409
0.72,127,0.767740027,0.904832966
0.722,128,0.768854756,0.905675191
0.722,129,0.769959311,0.906510113
0.723,130,0.771053937,0.907337763
0.724,131,0.772138873,0.908158172
0.724,132,0.773214347,0.908971374
0.724,133,0.774280577,0.909777404
0.726,134,0.775337776,0.910576297
0.727,135,0.776386146,0.91136809
0.729,136,0.777425884,0.912152822
0.73,137,0.778457177,0.912930531
0.733,138,0.779480207,0.913701259
0.734,139,0.780495148,0.914465045
0.736,140,0.78150217,0.915221932
0.736,141,0.782501433,0.915971962
0.737,142,0.783493095,0.916715179
0.738,143,0.784477307,0.917451627
0.741,144,0.785454212,0.918181351
0.741,145,0.786423952,0.918904395
0.741,146,0.787386661,0.919620806
0.743,147,0.78834247,0.92033063
0.744,148,0.789291505,0.921033913
0.744,149,0.790233886,0.921730703
0.746,150,0.791169732,0.922421046
0.746,151,0.792099155,0.923104992
0.746,152,0.793022265,0.923782588
0.746,153,0.793939168,0.924453882
0.746,154,0.794849964,0.925118923
0.746,155,0.795754754,0.925777759
0.747,156,0.796653632,0.92643044
0.747,157,0.797546692,0.927077014
0.748,158,0.798434021,0.927717531
0.748,159,0.799315706,0.928352039
0.748,160,0.800191832,0.928980589
0.748,161,0.801062478,0.92960323
0.75,162,0.801927724,0.930220009
0.75,163,0.802787645,0.930830978
0.752,164,0.803642315,0.931436186
0.753,165,0.804491805,0.932035681
0.753,166,0.805336184,0.932629512
0.756,167,0.80617552,0.933217729
0.757,168,0.807009876,0.933800381
0.76,169,0.807839317,0.934377517
0.761,170,0.808663904,0.934949185
0.762,171,0.809483696,0.935515434
0.762,172,0.81029875,0.936076312
0.762,173,0.811109124,0.936631867
0.762,174,0.811914871,0.937182148
0.763,175,0.812716044,0.937727203
0.763,176,0.813512696,0.938267078
0.763,177,0.814304875,0.938801823
0.763,178,0.815092632,0.939331482
0.763,179,0.815876013,0.939856105
0.764,180,0.816655065,0.940375737
0.764,181,0.817429832,0.940890425
0.764,182,0.818200359,0.941400215
0.764,183,0.818966688,0.941905153
0.765,184,0.819728861,0.942405285
0.765,185,0.820486919,0.942900656
0.766,186,0.821240902,0.943391312
0.766,187,0.821990847,0.943877297
0.768,188,0.822736793,0.944358655
0.77,189,0.823478776,0.944835432
0.77,190,0.824216834,0.94530767
0.77,191,0.824951,0.945775414
0.772,192,0.825681309,0.946238707
0.772,193,0.826407796,0.946697592
0.774,194,0.827130492,0.947152111
0.775,195,0.82784943,0.947602308
0.777,196,0.828564642,0.948048223
0.778,197,0.829276159,0.9484899
0.778,198,0.829984009,0.948927378
0.78,199,0.830688225,0.9493607
0.78,200,0.831388833,0.949789906
0.781,201,0.832085863,0.950215037
0.781,202,0.832779343,0.950636133
0.782,203,0.833469299,0.951053232
0.783,204,0.83415576,0.951466376
0.784,205,0.83483875,0.951875603
0.784,206,0.835518296,0.952280951
0.786,207,0.836194424,0.95268246
0.786,208,0.836867157,0.953080167
0.786,209,0.837536522,0.953474111
0.788,210,0.838202541,0.953864328
0.788,211,0.838865239,0.954250855
0.788,212,0.839524639,0.95463373
0.789,213,0.840180763,0.95501299
0.79,214,0.840833635,0.955388669
0.79,215,0.841483276,0.955760804
0.791,216,0.842129708,0.956129431
0.792,217,0.842772954,0.956494584
0.793,218,0.843413033,0.956856298
0.794,219,0.844049968,0.957214609
0.795,220,0.844683778,0.957569549
0.796,221,0.845314483,0.957921153
0.797,222,0.845942105,0.958269455
0.798,223,0.846566662,0.958614487
0.799,224,0.847188175,0.958956283
0.801,225,0.847806661,0.959294875
