Rec,Time,P1,P2
0.942,317,0.991307662,0.909955221
0.943,318,0.991385232,0.910382125
0.943,319,0.991461992,0.910806501
0.943,320,0.991537951,0.911228368
0.943,321,0.991613119,0.911647743
0.943,322,0.991687506,0.912064646
0.943,323,0.99176112,0.912479095
0.943,324,0.991833972,0.912891108
0.943,325,0.991906069,0.913300703
0.943,326,0.991977422,0.913707897
0.944,327,0.992048039,0.914112709
0.944,328,0.992117929,0.914515156
0.944,329,0.9921871,0.914915255
0.944,330,0.992255562,0.915313022
0.944,331,0.992323321,0.915708477
0.944,332,0.992390388,0.916101634
0.944,333,0.992456769,0.916492511
0.944,334,0.992522473,0.916881124
0.944,335,0.992587508,0.917267489
0.944,336,0.992651882,0.917651624
0.944,337,0.992715602,0.918033543
0.944,338,0.992778677,0.918413263
0.944,339,0.992841113,0.9187908
0.944,340,0.992902918,0.919166168
0.944,341,0.9929641,0.919539385
0.944,342,0.993024665,0.919910465
0.944,343,0.993084621,0.920279423
0.944,344,0.993143976,0.920646275
0.945,345,0.993202735,0.921011034
0.945,346,0.993260906,0.921373718
0.945,347,0.993318495,0.921734339
0.945,348,0.99337551,0.922092912
0.945,349,0.993431956,0.922449453
0.946,350,0.993487841,0.922803974
0.947,351,0.99354317,0.923156492
0.947,352,0.993597951,0.923507018
0.947,353,0.993652189,0.923855568
0.947,354,0.993705891,0.924202155
0.947,355,0.993759062,0.924546794
0.947,356,0.993811709,0.924889496
0.947,357,0.993863838,0.925230277
0.947,358,0.993915454,0.925569149
0.947,359,0.993966564,0.925906125
0.947,360,0.994017173,0.926241219
0.947,361,0.994067286,0.926574444
0.947,362,0.99411691,0.926905812
0.947,363,0.994166049,0.927235337
0.948,364,0.99421471,0.927563031
0.948,365,0.994262897,0.927888906
0.948,366,0.994310617,0.928212975
0.948,367,0.994357873,0.928535251
0.948,368,0.994404671,0.928855745
0.949,369,0.994451017,0.92917447
0.949,370,0.994496916,0.929491438
0.949,371,0.994542371,0.92980666
0.949,372,0.994587389,0.930120149
0.95,373,0.994631974,0.930431916
0.95,374,0.994676131,0.930741974
0.953,375,0.994719865,0.931050332
0.953,376,0.99476318,0.931357004
0.953,377,0.994806081,0.931662
0.953,378,0.994848572,0.931965331
0.953,379,0.994890658,0.932267009
0.954,380,0.994932344,0.932567045
0.954,381,0.994973633,0.93286545
0.954,382,0.99501453,0.933162234
0.954,383,0.99505504,0.933457409
0.954,384,0.995095166,0.933750985
0.954,385,0.995134914,0.934042973
0.955,386,0.995174286,0.934333383
0.955,387,0.995213286,0.934622226
0.955,388,0.99525192,0.934909511
0.955,389,0.995290191,0.935195251
0.955,390,0.995328103,0.935479454
0.955,391,0.995365659,0.93576213
0.955,392,0.995402864,0.936043291
0.955,393,0.995439721,0.936322945
0.955,394,0.995476234,0.936601102
