Time,P11,P22
661,1.48E-03,0.03276
662,1.48E-03,0.03272
663,1.48E-03,0.03264
664,1.48E-03,0.03228
665,1.48E-03,0.03224
666,1.48E-03,0.03208
667,1.48E-03,0.03192
668,1.48E-03,0.03172
669,1.44E-03,0.03164
670,1.40E-03,0.03144
671,1.40E-03,0.03128
672,1.40E-03,0.03108
673,1.36E-03,0.03096
674,1.36E-03,0.0308
675,1.36E-03,0.03072
676,1.36E-03,0.03064
677,1.36E-03,0.03044
678,1.36E-03,0.03036
679,1.36E-03,0.03012
680,1.36E-03,0.03004
681,1.36E-03,0.0298
682,1.36E-03,0.02964
683,1.32E-03,0.02948
684,1.32E-03,0.02924
685,1.28E-03,0.02912
686,1.24E-03,0.029
687,1.24E-03,0.02884
688,1.24E-03,0.0288
689,1.24E-03,0.02876
690,1.20E-03,0.02856
691,1.16E-03,0.02844
692,1.16E-03,0.02828
693,1.16E-03,0.02804
694,1.16E-03,0.02796
695,1.16E-03,0.02764
696,1.12E-03,0.02744
697,1.12E-03,0.02736
698,1.12E-03,0.02724
699,1.12E-03,0.02712
700,1.12E-03,0.02688
701,1.12E-03,0.02676
702,1.12E-03,0.02664
703,1.08E-03,0.0264
704,1.04E-03,0.02636
705,1.04E-03,0.02608
706,1.04E-03,0.026
707,1.04E-03,0.02576
708,1.04E-03,0.0256
709,1.00E-03,0.02556
710,1.00E-03,0.0254
711,9.60E-04,0.0252
712,9.20E-04,0.02496
713,8.80E-04,0.02488
714,8.80E-04,0.02464
715,8.80E-04,0.02456
716,8.80E-04,0.02452
717,8.80E-04,0.02444
718,8.80E-04,0.02432
719,8.80E-04,0.02416
720,8.80E-04,0.02396
721,8.80E-04,0.02396
722,8.80E-04,0.02348
723,8.80E-04,0.02336
724,8.40E-04,0.02332
725,8.40E-04,0.02316
726,8.40E-04,0.02304
727,8.40E-04,0.023
728,8.40E-04,0.02288
729,8.40E-04,0.0228
730,8.40E-04,0.02268
731,8.40E-04,0.0226
732,8.40E-04,0.0226
733,8.40E-04,0.02256
734,8.00E-04,0.02228
735,8.00E-04,0.0222
736,8.00E-04,0.02212
737,8.00E-04,0.02192
738,8.00E-04,0.0218
739,7.60E-04,0.0216
740,7.60E-04,0.02152
741,7.60E-04,0.0214
742,7.60E-04,0.02136
743,7.60E-04,0.02108
744,7.60E-04,0.02084
745,7.60E-04,0.02064
746,7.60E-04,0.02056
747,7.60E-04,0.02048
748,7.60E-04,0.02036
749,7.60E-04,0.0202
750,7.60E-04,0.02004
751,7.60E-04,0.02
752,7.20E-04,0.01988
753,7.20E-04,0.0198
754,7.20E-04,0.01972
755,7.20E-04,0.01968
756,7.20E-04,0.0196
757,6.80E-04,0.01944
758,6.80E-04,0.01932
759,6.80E-04,0.01924
760,6.80E-04,0.0192
761,6.80E-04,0.0192
762,6.80E-04,0.01912
763,6.80E-04,0.01888
764,6.80E-04,0.0188
765,6.80E-04,0.0188
766,6.80E-04,0.01864
767,6.40E-04,0.01836
768,6.00E-04,0.01816
769,6.00E-04,0.01812
770,6.00E-04,0.01804
771,6.00E-04,0.01792
772,6.00E-04,0.01788
773,6.00E-04,0.01776
774,6.00E-04,0.01764
775,6.00E-04,0.01764
776,6.00E-04,0.01764
777,6.00E-04,0.01764
778,5.60E-04,0.01748
779,5.60E-04,0.01736
780,5.60E-04,0.01732
781,5.60E-04,0.0172
782,5.60E-04,0.01712
783,5.20E-04,0.01704
784,5.20E-04,0.01692
785,5.20E-04,0.01692
786,4.80E-04,0.01684
787,4.80E-04,0.01676
788,4.80E-04,0.01672
789,4.80E-04,0.01668
790,4.40E-04,0.0166
791,4.40E-04,0.01656
792,4.40E-04,0.0164
793,4.40E-04,0.01628
794,4.40E-04,0.01624
795,4.40E-04,0.01616
796,4.40E-04,0.01604
797,4.40E-04,0.01596
798,4.40E-04,0.01592
799,4.40E-04,0.01576
800,4.40E-04,0.01572
801,4.40E-04,0.01564
802,4.40E-04,0.01556
803,4.00E-04,0.01544
804,3.60E-04,0.01528
805,3.60E-04,0.01508
806,3.60E-04,0.01504
807,3.60E-04,0.01492
808,3.60E-04,0.01484
809,3.20E-04,0.0148
810,3.20E-04,0.01476
811,3.20E-04,0.01468
812,3.20E-04,0.01464
813,3.20E-04,0.01452
814,3.20E-04,0.01428
815,3.20E-04,0.01416
816,3.20E-04,0.01404
817,3.20E-04,0.01396
818,3.20E-04,0.0138
819,0.00032,0.01368
820,3.20E-04,0.0136
821,3.20E-04,0.0134
822,3.20E-04,0.0134
823,3.20E-04,0.01328
824,3.20E-04,0.01312
825,3.20E-04,0.01292
826,3.20E-04,0.01276
827,3.20E-04,0.01268
828,3.20E-04,0.0126
829,3.20E-04,0.01252
830,3.20E-04,0.01244
831,3.20E-04,0.01232
832,0.00032,0.01232
833,0.00032,0.0122
834,0.00032,0.0122
835,0.00032,0.01208
836,0.00028,0.012
837,0.00028,0.01188
838,0.00028,0.0118
839,0.00028,0.01172
840,2.80E-04,0.01156
841,2.80E-04,0.01144
842,2.80E-04,0.01132
843,2.80E-04,0.01124
844,2.80E-04,0.01108
845,2.80E-04,0.01104
846,2.80E-04,0.01096
847,2.80E-04,0.01088
848,2.80E-04,0.01084
849,2.80E-04,0.01076
850,2.80E-04,0.01072
851,2.80E-04,0.01068
852,2.80E-04,0.01056
853,2.80E-04,0.01036
854,2.80E-04,0.0102
855,2.80E-04,0.01004
856,2.80E-04,0.00992
857,2.80E-04,0.00976
858,2.80E-04,0.00972
859,2.80E-04,0.0096
860,2.00E-04,0.0094
861,2.00E-04,0.00924
862,2.00E-04,0.00916
863,2.00E-04,0.00912
864,1.60E-04,0.00904
865,1.60E-04,0.00904
866,1.60E-04,0.00896
867,1.60E-04,0.0088
868,1.60E-04,0.00876
869,1.60E-04,0.00864
870,1.60E-04,0.00864
871,1.60E-04,0.0086
872,1.20E-04,0.00852
873,1.20E-04,0.00848
874,1.20E-04,0.00836
875,1.20E-04,0.00832
876,1.20E-04,8.28E-03
877,1.20E-04,8.16E-03
878,1.20E-04,8.04E-03
879,1.20E-04,8.00E-03
880,1.20E-04,8.00E-03
881,1.20E-04,8.00E-03
882,1.20E-04,7.84E-03
883,1.20E-04,7.80E-03
884,1.20E-04,7.76E-03
885,1.20E-04,7.76E-03
886,1.20E-04,7.68E-03
887,1.20E-04,7.56E-03
888,1.20E-04,7.44E-03
889,1.20E-04,7.32E-03
890,1.20E-04,7.32E-03
891,1.20E-04,7.16E-03
892,1.20E-04,7.08E-03
