Time,Rec
790,0.97664
791,0.97678
792,0.97694
793,0.97704
794,0.9772
795,0.97734
796,0.9775
797,0.9777
798,0.9779
799,0.97808
800,0.97818
801,0.97834
802,0.9785
803,0.9786
804,0.97884
805,0.979
806,0.97914
807,0.97924
808,0.97944
809,0.97954
810,0.97972
811,0.98
812,0.98028
813,0.9804
814,0.98066
815,0.98078
816,0.98094
817,0.98108
818,0.9812
819,0.9813
820,0.9814
821,0.98162
822,0.98168
823,0.9818
824,0.982
825,0.98212
826,0.98228
827,0.9825
828,0.98272
829,0.98278
830,0.98282
831,0.98288
832,0.983
833,0.98308
834,0.98318
835,0.98326
836,0.9834
837,0.98356
838,0.9837
839,0.98378
840,0.98394
841,0.98398
842,0.9841
843,0.98418
844,0.98428
845,0.98438
846,0.98444
847,0.98456
848,0.98468
849,0.9848
850,0.98496
851,0.985
852,0.98508
853,0.98518
854,0.98526
855,0.98528
856,0.98532
857,0.98544
858,0.98554
859,0.98566
860,0.9857
861,0.98586
862,0.98594
863,0.98604
864,0.9861
865,0.98616
866,0.98628
867,0.98632
868,0.98648
869,0.98652
870,0.98664
871,0.98672
872,0.98682
873,0.98692
874,0.98696
875,0.98702
876,0.98712
877,0.98726
878,0.98736
879,0.9875
880,0.98772
881,0.98772
882,0.98782
883,0.9879
884,0.98802
885,0.98806
886,0.9881
887,0.98814
888,0.98814
889,0.98832
890,0.98846
891,0.98854
892,0.98856
893,0.9886
894,0.9887
895,0.98876
896,0.98882
897,0.98898
898,0.98908
899,0.9892
900,0.98924
901,0.98926
902,0.98934
903,0.98944
904,0.98948
905,0.9895
906,0.9895
907,0.98954
908,0.9896
909,0.98972
910,0.9898
911,0.98982
912,0.98984
913,0.98988
914,0.98992
915,0.99004
916,0.99014
917,0.99018
918,0.9902
919,0.99022
920,0.99038
921,0.99046
922,0.9905
923,0.99058
924,0.99066
925,0.99072
926,0.99078
927,0.9908
928,0.9909
929,0.991
930,0.99102
931,0.99108
932,0.99118
933,0.99126
934,0.99136
935,0.99142
936,0.99148
937,0.99156
938,0.9917
939,0.99176
940,0.9918
941,0.99188
942,0.99194
943,0.99202
944,0.99206
945,0.99218
946,0.99226
947,0.99228
948,0.9923
949,0.99232
950,0.99234
951,0.99242
952,0.99242
953,0.99244
954,0.9925
955,0.99252
956,0.99256
957,0.9926
958,0.99266
959,0.9927
960,0.9927
961,0.9928
962,0.99282
963,0.99284
964,0.99284
965,0.99286
966,0.99292
967,0.99298
968,0.99304
969,0.99316
970,0.99322
971,0.99322
972,0.99334
973,0.99338
974,0.99344
975,0.99348
976,0.99352
977,0.99356
978,0.9936
979,0.99362
980,0.99362
981,0.99362
982,0.99368
983,0.99376
984,0.99382
985,0.9939
986,0.99392
987,0.99392
988,0.99398
989,0.99402
990,0.99408
991,0.9941
992,0.9941
993,0.99416
994,0.9942
995,0.99426
996,0.9943
997,0.99434
998,0.99436
999,0.99444
1000,0.99446
