IM,Minor,Mod,Sev
3.26,1,0.961982118,0.80609538
3.27,1,0.962564216,0.807989482
3.28,1,0.963146315,0.809883584
3.29,1,0.963728413,0.811777686
3.3,1,0.964310512,0.813671788
3.31,1,0.96489261,0.815565889
3.32,1,0.965474709,0.817459991
3.33,1,0.966056807,0.819354093
3.34,1,0.966638906,0.821248195
3.35,1,0.967221005,0.823142297
3.36,1,0.967803103,0.825036399
3.37,1,0.96832492,0.8269305
3.38,1,0.96858569,0.828541723
3.39,1,0.96884646,0.830017427
3.4,1,0.969107229,0.83149313
3.41,1,0.969367999,0.832968834
3.42,1,0.969628769,0.834444538
3.43,1,0.969889539,0.835920241
3.44,1,0.970150308,0.837395945
3.45,1,0.970411078,0.838871648
3.46,1,0.970671848,0.840347352
3.47,1,0.970932617,0.841823056
3.48,1,0.971193387,0.843298759
3.49,1,0.971454157,0.844774463
3.5,1,0.971714926,0.846250166
3.51,1,0.971975696,0.84772587
3.52,1,0.972236466,0.849201573
3.53,1,0.972497235,0.850677277
3.54,1,0.972758005,0.852152981
3.55,1,0.973018775,0.853628684
3.56,1,0.973279544,0.855104388
3.57,1,0.973540314,0.856580091
3.58,1,0.973797738,0.858055795
3.59,1,0.97395056,0.859531499
3.6,1,0.974103383,0.861007202
3.61,1,0.974256206,0.862482906
3.62,1,0.974409028,0.863958609
3.63,1,0.974561851,0.865147823
3.64,1,0.974714674,0.866160624
3.65,1,0.974867496,0.867173425
3.66,1,0.975020319,0.868186226
3.67,1,0.975173142,0.869199027
3.68,1,0.975325965,0.870211828
3.69,1,0.975478787,0.871224629
3.7,1,0.97563161,0.87223743
3.71,1,0.975784433,0.873250232
3.72,1,0.975937255,0.874263033
3.73,1,0.976090078,0.875275834
3.74,1,0.976242901,0.876288635
3.75,1,0.976395724,0.877301436
3.76,1,0.976548546,0.878314237
3.77,1,0.97674317,0.879327038
3.78,1,0.97693876,0.880339839
3.79,1,0.97713435,0.88135264
3.8,1,0.97732994,0.882365442
3.81,1,0.97752553,0.883378243
3.82,1,0.97772112,0.884391044
3.83,1,0.97791671,0.885403845
3.84,1,0.9781123,0.886260174
3.85,1,0.97830789,0.887077482
3.86,1,0.97850348,0.88789479
3.87,1,0.97869907,0.888712098
3.88,1,0.97889466,0.889529407
3.89,1,0.97909025,0.890346715
3.9,1,0.97928584,0.891164023
3.91,1,0.97948143,0.891981331
3.92,1,0.97967702,0.89279864
3.93,1,0.97987261,0.893615948
3.94,1,0.9800682,0.894433256
3.95,1,0.98026379,0.895250564
3.96,1,0.98045938,0.896067873
3.97,1,0.98065497,0.896885181
3.98,1,0.98083985,0.897702489
3.99,1,0.981022394,0.898519797
4,1,0.981204938,0.899337106
4.01,1,0.981387482,0.900154414
4.02,1,0.981570026,0.900971722
4.03,1,0.98175257,0.90178903
4.04,1,0.981935113,0.902606339
4.05,1,0.982117657,0.903423647
4.06,1,0.982300201,0.904240955
4.07,1,0.982482745,0.905058263
4.08,1,0.982665289,0.905875572
4.09,1,0.982847833,0.906682595
4.1,1,0.983030376,0.907265622
4.11,1,0.98321292,0.90784865
4.12,1,0.983395464,0.908431677
4.13,1,0.983578008,0.909014704
4.14,1,0.983760552,0.909597731
4.15,1,0.983943096,0.910180759
4.16,1,0.98412564,0.910763786
4.17,1,0.984308183,0.911346813
4.18,1,0.984490727,0.911929841
4.19,1,0.984673271,0.912512868
4.2,1,0.984855815,0.913095895
4.21,1,0.985038359,0.913678923
4.22,1,0.985220903,0.91426195
4.23,1,0.985403447,0.914844977
4.24,1,0.98558599,0.915428005
4.25,1,0.985768534,0.916011032
4.26,1,0.985951078,0.916594059
4.27,1,0.986133622,0.917177086
4.28,1,0.986316166,0.917760114
